Korean,English
자막,Subtitle
쉽지,Easy
하러,to do
전까지,Before
냄새,smell
갈래,Shall we go
여기선,Here
생명을,Life
바꿀,Change
아내,wife
어떻게든,Somehow
필요로,Needed
문이,Door
술을,alcohol
끝나면,At the end
왔지,Here
무기,weapon
버리고,Abandon
지역,region
해줘요,Do it
어젯밤,yesternight
된다면,If
올려,Upload
싶다면,If you want to
좋게,good
될지,Or
끌고,Drag
거래를,Transaction
볼까,Let's see
조심해요,Careful
지금부터,From now on
폐하,your majesty
만,only
미안한데,I'm sorry
축하해,congratulations
하,under
인생,life
안전하게,safety
말하길,Speaking
언니가,Sister
유명한,famous
숨어,behind
로,as
밤새,Overnight
처음엔,at first
나요,It's me
잠을,Sleep
세상은,The world
얘는,This one
오랜,long-time
최근,recent
좋죠,Good
카레브,Curry
내말은,I mean
리처드,Richard
사람한테,To a person
학교에서,At school
달려,run
갈거야,I'm going
왼쪽,left
사실이,Facts
경우,case
안해,I will not
수많은,Countless
가기,Going
귀여운,cute
채,stick
크리스,chris
하니,hani
소식을,News
의미가,Meaning
사람과,People
받았어요,received
됐습니다,Obsteed
전쟁,War
손이,Hand
장난,joke
괜찮니,Are you okay
시작해,Starting
아니니까,Because no
스콧,Scott
드릴까요,Would you like
마셔,drink
쿠키,cookie
보이는데,I see it
끝났어요,It's done
방에서,In the room
카라,Kara
담배,cigarette
잘하고,Well
내겐,Me
저에게,to me
파티를,Party
폴,pole
뿐이지,Only
맘대로,Whatever you want
전해,the year before
데리러,Pick up
장,page
삶의,Life
괜찮습니다,it's okay
찰리,Charlie
없었다,There was no
영국,uk
왔네,You are here
필요합니다,Required
라,la
대니,Danny
이상해,Strange
사건이,Incident
매번,every time
거잖아요,That's it
보스,boss
걸세,Tall
생각해봐,lets think
오신,Sincerity
비밀을,Secret
있긴,In
개를,Dog
간다고,Going
빠르게,fast
생각합니다,I think
괜찮으세요,Are you okay
어찌,For some reason
오른쪽,right
말로,In words
위험해,Dangerous
범인은,The culprit
가방,bag
떠나지,Leave
만들었어,I made it
싶다고,I want to
개가,a dog
뉴욕,New York
그러세요,Please
먼,far
있는거,Is there
이따,later
느낄,Feeling
우와,wow
위하여,for
열쇠,key
도시를,City
낼,Yan
바닥에,On the floor
든,Allowed
생각했는데,I thought
진,jin
말했지,I said
가르쳐,teach
마찬가지야,The same is true
깊은,deep
났어,I was
물건,thing
금지,prohibition
살아있는,Living
또는,or
찾으면,When found
존나,Fucking
떠나,leave
가죠,I go
사람들도,People
않았습니다,I did not
파블로,Pablo
선물을,Gift
자격이,Qualified
스스로를,Themselves
마을,Town
손으로,by hand
누나,sister
놈들을,Guys
때문이지,Because
비슷한,Similar
없이는,Without
갑니다,going
계신,Believer
아가야,Agaya
시체를,The body
데려가,Take it
말해요,Say
자가,self
옳지,Right
어릴,Childhood
듯,As if
된다는,To be
잘못이,Wrong
아시죠,You know
동시에,at the same time
형은,The brother
안다고,I know
이동,movement
음식을,food
아빠랑,With Dad
전까진,Uponly
고작,Only
만들지,Make it
해야할,Must
준비를,Preparation
못했어요,I couldn't
번역,translation
범인이,Culprit
죽이려고,To kill
수술은,Surgery is
뿐,only
싶을,I want to
누구나,everyone
우리랑,With us
너희들은,You guys
언제부터,Since when
누구든,Whoever
관심을,Interest
관련된,Related
음식,food
걸릴,Caught
소릴,Turmoil
왕이,King
찾지,Notice
약속,promise
들려요,I can hear it
온다,come
어떤지,What
보여줘,show me
생각이야,I think
무척,very
치프,Chief
인간이,Humans
선생,teacher
알겠죠,Okay
대해선,Seaweed
않네요,Not
개인,individual
전부터,From before
데이비드,David
잘됐네,Well done
내려놔,Put down
놀라운,amazing
엄청나게,whopping
똑똑한,smart
행동을,Action
위험을,Risk
연락,Communication
도,do
화장실,restroom
